site;date;observer;dive;replicate;species;sex;maturity;size_type;abundance;size_observed
El Resumidero;02/11/2013;Talamantes, Claudia;1;1;Chromis atrilobata;NA;NA;size;180;10
El Resumidero;02/11/2013;Talamantes, Claudia;1;1;Chromis atrilobata;NA;NA;size;150;50
El Resumidero;02/11/2013;Talamantes, Claudia;1;1;Cirrhitichthys oxycephalus;NA;NA;size;1;10
El Resumidero;02/11/2013;Talamantes, Claudia;1;1;Cirrhitichthys oxycephalus;NA;NA;size;1;5
El Resumidero;02/11/2013;Talamantes, Claudia;1;4;Holacanthus passer;NA;NA;size;1;20
El Resumidero;02/11/2013;Talamantes, Claudia;1;4;Chromis atrilobata;NA;NA;size;250;10
El Resumidero;02/11/2013;Talamantes, Claudia;1;4;Thalassoma lucasanum;NA;NA;size;60;10
El Resumidero;02/11/2013;Talamantes, Claudia;1;5;Holacanthus passer;NA;NA;size;2;20
El Resumidero;02/11/2013;Talamantes, Claudia;1;5;Bodianus diplotaenia;NA;NA;size;21;5
El Resumidero;02/11/2013;Talamantes, Claudia;1;5;Chromis atrilobata;NA;NA;size;90;10
El Resumidero;02/11/2013;Talamantes, Claudia;1;5;Thalassoma lucasanum;NA;NA;size;10;10
El Resumidero;02/11/2013;Talamantes, Claudia;1;6;Chromis atrilobata;NA;NA;size;150;10
El Resumidero;02/11/2013;Talamantes, Claudia;1;6;Thalassoma lucasanum;NA;NA;size;10;10
El Resumidero;02/11/2013;Cazares, Camilo;1;1;Stegastes rectifraenum;NA;NA;size;3;8
El Resumidero;02/11/2013;Cazares, Camilo;1;1;Stegastes rectifraenum;NA;NA;size;4;9
El Resumidero;02/11/2013;Cazares, Camilo;1;1;Holacanthus passer;NA;NA;size;1;3
El Resumidero;02/11/2013;Cazares, Camilo;1;1;Holacanthus passer;NA;NA;size;3;20
El Resumidero;02/11/2013;Cazares, Camilo;1;1;Bodianus diplotaenia;NA;NA;size;50;3
El Resumidero;02/11/2013;Cazares, Camilo;1;1;Bodianus diplotaenia;NA;NA;size;10;15
El Resumidero;02/11/2013;Cazares, Camilo;1;1;Bodianus diplotaenia;NA;NA;size;10;3
El Resumidero;02/11/2013;Cazares, Camilo;1;1;Chromis atrilobata;NA;NA;size;100;5
El Resumidero;02/11/2013;Cazares, Camilo;1;1;Chromis atrilobata;NA;NA;size;30;5
El Resumidero;02/11/2013;Cazares, Camilo;1;1;Thalassoma lucasanum;NA;NA;size;100;3
El Resumidero;02/11/2013;Cazares, Camilo;1;1;Thalassoma lucasanum;NA;NA;size;20;8
El Resumidero;02/11/2013;Cazares, Camilo;1;1;Thalassoma lucasanum;NA;NA;size;10;10
El Resumidero;02/11/2013;Cazares, Camilo;1;1;Thalassoma lucasanum;NA;NA;size;30;8
