"ID";"dive";"replicate";"Fecha";"Comunidad";"Sitio";"Latitud";"Longitud";"Habitat";"Zonificacion";"TipoProteccion";"ANP";"BuzoMonitor";"HoraInicial";"HoraFinal";"ProfundidadFinal";"Temperatura";"Visibilidad";"Corriente";"Transecto";"Genero";"Especie";"GeneroEspecie";"Sexo";"ClaseT";"Talla";"Abundancia";"Clase";"FM"
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;NA;"Pentaceraster";"cumingi";"Pentaceraster cumingi";NA;NA;NA;13;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;NA;"Phataria";"unifascialis";"Phataria unifascialis";NA;NA;NA;3;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;NA;"Gorgoniidae";"spp";"Gorgoniidae spp";NA;NA;NA;2;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;NA;"Eucidaris";"thouarsii";"Eucidaris thouarsii";NA;NA;NA;20;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;NA;"Tripneustes";"depressus";"Tripneustes depressus";NA;NA;NA;50;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;NA;"Pinctada";"mazatlanica";"Pinctada mazatlanica";NA;NA;NA;16;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;NA;"Chama";"spp";"Chama spp";NA;NA;NA;7;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;NA;"Pentaceraster";"cumingi";"Pentaceraster cumingi";NA;NA;NA;16;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;NA;"Phataria";"unifascialis";"Phataria unifascialis";NA;NA;NA;2;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;NA;"Gorgoniidae";"spp";"Gorgoniidae spp";NA;NA;NA;3;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;NA;"Eucidaris";"thouarsii";"Eucidaris thouarsii";NA;NA;NA;6;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;NA;"Tripneustes";"depressus";"Tripneustes depressus";NA;NA;NA;28;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;NA;"Pinctada";"mazatlanica";"Pinctada mazatlanica";NA;NA;NA;8;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;NA;"Chama";"spp";"Chama spp";NA;NA;NA;8;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;NA;"Pentaceraster";"cumingi";"Pentaceraster cumingi";NA;NA;NA;27;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;NA;"Phataria";"unifascialis";"Phataria unifascialis";NA;NA;NA;17;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;NA;"Eucidaris";"thouarsii";"Eucidaris thouarsii";NA;NA;NA;50;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;NA;"Tripneustes";"depressus";"Tripneustes depressus";NA;NA;NA;15;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;NA;"Pinctada";"mazatlanica";"Pinctada mazatlanica";NA;NA;NA;28;"invert";NA
