"ID";"dive.x";"replicate.x";"Fecha.x";"Comunidad";"Sitio.x";"Latitud";"Longitud";"Habitat";"Zonificacion";"TipoProteccion";"ANP";"BuzoMonitor";"HoraInicial";"HoraFinal";"ProfundidadFinal";"Temperatura";"Visibilidad";"Corriente";"Transecto";"Genero";"Especie";"GeneroEspecie";"Sexo";"Abundancia";"Clase";"FM";"Fecha.y";"Sitio.y";"dive.y";"replicate.y"
"El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 1";1;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Garcia, Juan Gabriel";NA;NA;5.7;NA;NA;"";1;"Pharia";"pyramidata";"Pharia pyramidata";"";3;"invert";"";"28/09/2011";"El Arroyo (ISPN)";1;1
"El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 1";1;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Garcia, Juan Gabriel";NA;NA;5.7;NA;NA;"";1;"Phataria";"unifascialis";"Phataria unifascialis";"";1;"invert";"";"28/09/2011";"El Arroyo (ISPN)";1;1
"El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 1";1;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Garcia, Juan Gabriel";NA;NA;5.7;NA;NA;"";1;"Echineaster";"tenuispina";"Echineaster tenuispina";"";1;"invert";"";"28/09/2011";"El Arroyo (ISPN)";1;1
"El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 1";1;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Garcia, Juan Gabriel";NA;NA;5.7;NA;NA;"";1;"Gorgoniidae";"spp";"Gorgoniidae spp";"";1;"invert";"";"28/09/2011";"El Arroyo (ISPN)";1;1
"El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 1";1;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Garcia, Juan Gabriel";NA;NA;5.7;NA;NA;"";1;"Tripneustes";"depressus";"Tripneustes depressus";"";5;"invert";"";"28/09/2011";"El Arroyo (ISPN)";1;1
"El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 1";1;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Garcia, Juan Gabriel";NA;NA;5.7;NA;NA;"";1;"Pinctada";"mazatlanica";"Pinctada mazatlanica";"";2;"invert";"";"28/09/2011";"El Arroyo (ISPN)";1;1
"El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 1";1;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Garcia, Juan Gabriel";NA;NA;5.7;NA;NA;"";1;"Chama";"spp";"Chama spp";"";2;"invert";"";"28/09/2011";"El Arroyo (ISPN)";1;1
"El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 1";1;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Garcia, Juan Gabriel";NA;NA;5.7;NA;NA;"";1;"Echineaster";"tenuispina";"Echineaster tenuispina";"";1;"invert";"";"28/09/2011";"El Arroyo (ISPN)";1;1
"El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 1";1;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Garcia, Juan Gabriel";NA;NA;5.7;NA;NA;"";1;"Gorgoniidae";"spp";"Gorgoniidae spp";"";1;"invert";"";"28/09/2011";"El Arroyo (ISPN)";1;1
"El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 1";1;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Garcia, Juan Gabriel";NA;NA;5.7;NA;NA;"";1;"Pinctada";"mazatlanica";"Pinctada mazatlanica";"";4;"invert";"";"28/09/2011";"El Arroyo (ISPN)";1;1
"El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 1";1;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Garcia, Juan Gabriel";NA;NA;5.7;NA;NA;"";1;"Phataria";"unifascialis";"Phataria unifascialis";"";2;"invert";"";"28/09/2011";"El Arroyo (ISPN)";1;1
"El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 1";1;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Garcia, Juan Gabriel";NA;NA;5.7;NA;NA;"";1;"Tripneustes";"depressus";"Tripneustes depressus";"";1;"invert";"";"28/09/2011";"El Arroyo (ISPN)";1;1
"El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 1";1;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Garcia, Juan Gabriel";NA;NA;5.7;NA;NA;"";1;"Diadema";"mexicanum";"Diadema mexicanum";"";1;"invert";"";"28/09/2011";"El Arroyo (ISPN)";1;1
"El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 1";1;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Garcia, Juan Gabriel";NA;NA;5.7;NA;NA;"";1;"Pinctada";"mazatlanica";"Pinctada mazatlanica";"";3;"invert";"";"28/09/2011";"El Arroyo (ISPN)";1;1
"El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 1";1;1;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Garcia, Juan Gabriel";NA;NA;5.7;NA;NA;"";1;"Chama";"spp";"Chama spp";"";1;"invert";"";"28/09/2011";"El Arroyo (ISPN)";1;1
"El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 2";1;2;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Garcia, Juan Gabriel";NA;NA;5.1;NA;NA;"";2;"Phataria";"unifascialis";"Phataria unifascialis";"";6;"invert";"";"28/09/2011";"El Arroyo (ISPN)";1;2
"El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 2";1;2;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Garcia, Juan Gabriel";NA;NA;5.1;NA;NA;"";2;"Gorgoniidae";"spp";"Gorgoniidae spp";"";2;"invert";"";"28/09/2011";"El Arroyo (ISPN)";1;2
"El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 2";1;2;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Garcia, Juan Gabriel";NA;NA;5.1;NA;NA;"";2;"Eucidaris";"thouarsii";"Eucidaris thouarsii";"";2;"invert";"";"28/09/2011";"El Arroyo (ISPN)";1;2
"El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 2";1;2;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Garcia, Juan Gabriel";NA;NA;5.1;NA;NA;"";2;"Tripneustes";"depressus";"Tripneustes depressus";"";1;"invert";"";"28/09/2011";"El Arroyo (ISPN)";1;2
"El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 2";1;2;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Garcia, Juan Gabriel";NA;NA;5.1;NA;NA;"";2;"Pinctada";"mazatlanica";"Pinctada mazatlanica";"";1;"invert";"";"28/09/2011";"El Arroyo (ISPN)";1;2
"El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 2";1;2;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Garcia, Juan Gabriel";NA;NA;5.1;NA;NA;"";2;"Eucidaris";"thouarsii";"Eucidaris thouarsii";"";1;"invert";"";"28/09/2011";"El Arroyo (ISPN)";1;2
"El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 2";1;2;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Garcia, Juan Gabriel";NA;NA;5.1;NA;NA;"";2;"Gorgoniidae";"spp";"Gorgoniidae spp";"";1;"invert";"";"28/09/2011";"El Arroyo (ISPN)";1;2
"El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 2";1;2;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Garcia, Juan Gabriel";NA;NA;5.1;NA;NA;"";2;"Eucidaris";"thouarsii";"Eucidaris thouarsii";"";10;"invert";"";"28/09/2011";"El Arroyo (ISPN)";1;2
"El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 2";1;2;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Garcia, Juan Gabriel";NA;NA;5.1;NA;NA;"";2;"Tripneustes";"depressus";"Tripneustes depressus";"";3;"invert";"";"28/09/2011";"El Arroyo (ISPN)";1;2
"El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 2";1;2;"28/09/2011";NA;"El Arroyo (ISPN)";NA;NA;NA;NA;NA;NA;"Garcia, Juan Gabriel";NA;NA;5.1;NA;NA;"";2;"Diadema";"mexicanum";"Diadema mexicanum";"";3;"invert";"";"28/09/2011";"El Arroyo (ISPN)";1;2
