ID;dive;replicate;Dia;Mes;Ano;Comunidad;Sitio;Latitud;Longitud;Habitat;Zonificacion;TipoProteccion;ANP;BuzoMonitor;HoraInicial;HoraFinal;ProfundidadFinal;Temperatura;Visibilidad;Corriente;Transecto;Genero;Especie;GeneroEspecie;Sexo;Abundancia;Clase;FM
El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 1;1;1;28;9;2011;NA;El Arroyo (ISPN);NA;NA;NA;NA;NA;NA;Garcia, Juan Gabriel;NA;NA;5.7;NA;NA;;1;Pharia;pyramidata;Pharia pyramidata;;3;invert;
El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 1;1;1;28;9;2011;NA;El Arroyo (ISPN);NA;NA;NA;NA;NA;NA;Garcia, Juan Gabriel;NA;NA;5.7;NA;NA;;1;Phataria;unifascialis;Phataria unifascialis;;1;invert;
El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 1;1;1;28;9;2011;NA;El Arroyo (ISPN);NA;NA;NA;NA;NA;NA;Garcia, Juan Gabriel;NA;NA;5.7;NA;NA;;1;Echineaster;tenuispina;Echineaster tenuispina;;1;invert;
El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 1;1;1;28;9;2011;NA;El Arroyo (ISPN);NA;NA;NA;NA;NA;NA;Garcia, Juan Gabriel;NA;NA;5.7;NA;NA;;1;Gorgoniidae;spp;Gorgoniidae spp;;1;invert;
El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 1;1;1;28;9;2011;NA;El Arroyo (ISPN);NA;NA;NA;NA;NA;NA;Garcia, Juan Gabriel;NA;NA;5.7;NA;NA;;1;Tripneustes;depressus;Tripneustes depressus;;5;invert;
El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 1;1;1;28;9;2011;NA;El Arroyo (ISPN);NA;NA;NA;NA;NA;NA;Garcia, Juan Gabriel;NA;NA;5.7;NA;NA;;1;Pinctada;mazatlanica;Pinctada mazatlanica;;2;invert;
El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 1;1;1;28;9;2011;NA;El Arroyo (ISPN);NA;NA;NA;NA;NA;NA;Garcia, Juan Gabriel;NA;NA;5.7;NA;NA;;1;Chama;spp;Chama spp;;2;invert;
El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 1;1;1;28;9;2011;NA;El Arroyo (ISPN);NA;NA;NA;NA;NA;NA;Garcia, Juan Gabriel;NA;NA;5.7;NA;NA;;1;Echineaster;tenuispina;Echineaster tenuispina;;1;invert;
El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 1;1;1;28;9;2011;NA;El Arroyo (ISPN);NA;NA;NA;NA;NA;NA;Garcia, Juan Gabriel;NA;NA;5.7;NA;NA;;1;Gorgoniidae;spp;Gorgoniidae spp;;1;invert;
El Arroyo (ISPN) 28/09/2011 Garcia, Juan Gabriel 1 1;1;1;28;9;2011;NA;El Arroyo (ISPN);NA;NA;NA;NA;NA;NA;Garcia, Juan Gabriel;NA;NA;5.7;NA;NA;;1;Pinctada;mazatlanica;Pinctada mazatlanica;;4;invert;
