"ID";"dive";"replicate";"Fecha";"Comunidad";"Sitio";"Latitud";"Longitud";"Habitat";"Zonificacion";"TipoProteccion";"ANP";"BuzoMonitor";"HoraInicial";"HoraFinal";"ProfundidadFinal";"Temperatura";"Visibilidad";"Corriente";"Transecto";"Genero";"Especie";"GeneroEspecie";"Sexo";"Abundancia";"Clase";"FM"
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;6;"Pentaceraster";"cumingi";"Pentaceraster cumingi";NA;13;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;6;"Phataria";"unifascialis";"Phataria unifascialis";NA;3;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;6;"Gorgoniidae";"spp";"Gorgoniidae spp";NA;2;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;6;"Eucidaris";"thouarsii";"Eucidaris thouarsii";NA;20;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;6;"Tripneustes";"depressus";"Tripneustes depressus";NA;50;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;6;"Pinctada";"mazatlanica";"Pinctada mazatlanica";NA;16;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;6;"Chama";"spp";"Chama spp";NA;7;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;6;"Pentaceraster";"cumingi";"Pentaceraster cumingi";NA;16;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;6;"Phataria";"unifascialis";"Phataria unifascialis";NA;2;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;6;"Gorgoniidae";"spp";"Gorgoniidae spp";NA;3;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;6;"Eucidaris";"thouarsii";"Eucidaris thouarsii";NA;6;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;6;"Tripneustes";"depressus";"Tripneustes depressus";NA;28;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;6;"Pinctada";"mazatlanica";"Pinctada mazatlanica";NA;8;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;6;"Chama";"spp";"Chama spp";NA;8;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;6;"Pentaceraster";"cumingi";"Pentaceraster cumingi";NA;27;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;6;"Phataria";"unifascialis";"Phataria unifascialis";NA;17;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;6;"Eucidaris";"thouarsii";"Eucidaris thouarsii";NA;50;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;6;"Tripneustes";"depressus";"Tripneustes depressus";NA;15;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 1";1;1;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;6;"Pinctada";"mazatlanica";"Pinctada mazatlanica";NA;28;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 2";1;2;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;7;"Pentaceraster";"cumingi";"Pentaceraster cumingi";NA;9;"invert";NA
"El Resumidero 03/11/2013 Torres, Daniel 1 2";1;2;"03/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Torres, Daniel";NA;NA;NA;NA;NA;NA;7;"Phataria";"unifascialis";"Phataria unifascialis";NA;6;"invert";NA
