"ID";"dive";"replicate";"Fecha";"Comunidad";"Sitio";"Latitud";"Longitud";"Habitat";"Zonificacion";"TipoProteccion";"ANP";"BuzoMonitor";"HoraInicial";"HoraFinal";"ProfundidadFinal";"Temperatura";"Visibilidad";"Corriente";"Transecto";"Genero";"Especie";"GeneroEspecie";"Sexo";"ClaseT";"Talla";"Abundancia";"Clase";"FM"
"El Resumidero 02/11/2013 Talamantes, Claudia 1 1";1;1;"02/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Talamantes, Claudia";NA;NA;NA;NA;NA;NA;NA;"Chromis";"atrilobata";"Chromis atrilobata";NA;NA;10;180;"fish";NA
"El Resumidero 02/11/2013 Talamantes, Claudia 1 1";1;1;"02/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Talamantes, Claudia";NA;NA;NA;NA;NA;NA;NA;"Chromis";"atrilobata";"Chromis atrilobata";NA;NA;50;150;"fish";NA
"El Resumidero 02/11/2013 Talamantes, Claudia 1 1";1;1;"02/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Talamantes, Claudia";NA;NA;NA;NA;NA;NA;NA;"Cirrhitichthys";"oxycephalus";"Cirrhitichthys oxycephalus";NA;NA;10;1;"fish";NA
"El Resumidero 02/11/2013 Talamantes, Claudia 1 1";1;1;"02/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Talamantes, Claudia";NA;NA;NA;NA;NA;NA;NA;"Cirrhitichthys";"oxycephalus";"Cirrhitichthys oxycephalus";NA;NA;5;1;"fish";NA
"El Resumidero 02/11/2013 Talamantes, Claudia 1 4";1;4;"02/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Talamantes, Claudia";NA;NA;NA;NA;NA;NA;NA;"Holacanthus";"passer";"Holacanthus passer";NA;NA;20;1;"fish";NA
"El Resumidero 02/11/2013 Talamantes, Claudia 1 4";1;4;"02/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Talamantes, Claudia";NA;NA;NA;NA;NA;NA;NA;"Chromis";"atrilobata";"Chromis atrilobata";NA;NA;10;250;"fish";NA
"El Resumidero 02/11/2013 Talamantes, Claudia 1 4";1;4;"02/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Talamantes, Claudia";NA;NA;NA;NA;NA;NA;NA;"Thalassoma";"lucasanum";"Thalassoma lucasanum";NA;NA;10;60;"fish";NA
"El Resumidero 02/11/2013 Talamantes, Claudia 1 5";1;5;"02/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Talamantes, Claudia";NA;NA;NA;NA;NA;NA;NA;"Holacanthus";"passer";"Holacanthus passer";NA;NA;20;2;"fish";NA
"El Resumidero 02/11/2013 Talamantes, Claudia 1 5";1;5;"02/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Talamantes, Claudia";NA;NA;NA;NA;NA;NA;NA;"Bodianus";"diplotaenia";"Bodianus diplotaenia";NA;NA;5;21;"fish";NA
"El Resumidero 02/11/2013 Talamantes, Claudia 1 5";1;5;"02/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Talamantes, Claudia";NA;NA;NA;NA;NA;NA;NA;"Chromis";"atrilobata";"Chromis atrilobata";NA;NA;10;90;"fish";NA
