"ID";"Transecto"
"El Resumidero 02/11/2013 Becerra, Ulises 1 6";1
"El Resumidero 03/11/2013 Lopez, Juan Gabriel 1 1";2
"El Resumidero 03/11/2013 Lopez, Juan Gabriel 1 2";3
"El Resumidero 03/11/2013 Lopez, Juan Gabriel 1 3";4
"El Resumidero 03/11/2013 Lopez, Juan Gabriel 1 4";5
"El Resumidero 03/11/2013 Torres, Daniel 1 1";6
"El Resumidero 03/11/2013 Torres, Daniel 1 2";7
"El Resumidero 03/11/2013 Torres, Daniel 1 3";8
"El Resumidero 03/11/2013 Torres, Daniel 1 4";9
"El Resumidero 03/11/2013 Valdez, Daniel 1 1";10
"El Resumidero 03/11/2013 Valdez, Daniel 1 2";11
"El Resumidero 03/11/2013 Valdez, Daniel 1 3";12
"El Resumidero 03/11/2013 Valdez, Daniel 1 4";13
"La Bufadora 03/11/2013 Caamal, Jacobo 2 1";1
"La Bufadora 03/11/2013 Caamal, Jacobo 2 2";2
"La Bufadora 03/11/2013 Caamal, Jacobo 2 3";3
"La Bufadora 03/11/2013 Caamal, Jacobo 2 4";4
"La Bufadora 03/11/2013 Gonzalez, Marco Antonio 2 1";5
"La Bufadora 03/11/2013 Gonzalez, Marco Antonio 2 2";6
"La Bufadora 03/11/2013 Gonzalez, Marco Antonio 2 3";7
"La Bufadora 03/11/2013 Gonzalez, Marco Antonio 2 4";8
"La Bufadora 03/11/2013 Medina, Jaime 1 1";9
"La Bufadora 03/11/2013 Medina, Jaime 1 2";10
"La Bufadora 03/11/2013 Medina, Jaime 1 3";11
"La Bufadora 03/11/2013 Medina, Jaime 1 4";12
"La Ensenada 02/11/2013 Suarez, Alvin 1 1";1
"La Ensenada 02/11/2013 Suarez, Alvin 1 2";2
"La Ensenada 02/11/2013 Suarez, Alvin 1 3";3
"La Ensenada 02/11/2013 Suarez, Alvin 1 4";4
"La Ensenada 02/11/2013 Torres, Daniel 2 5";5
"La Ensenada 03/11/2013 Delgado, Samuel 1 1";1
"La Ensenada 03/11/2013 Delgado, Samuel 1 2";2
"La Ensenada 03/11/2013 Delgado, Samuel 1 3";3
"La Ensenada 03/11/2013 Delgado, Samuel 1 4";4
"La Ensenada 03/11/2013 Jarillo, Miguel 1 1";5
"La Ensenada 03/11/2013 Jarillo, Miguel 1 2";6
"La Ensenada 03/11/2013 Jarillo, Miguel 1 3";7
"La Ensenada 03/11/2013 Jarillo, Miguel 1 4";8
"La Guina 03/11/2013 Caamal, Jacobo 1 1";1
"La Guina 03/11/2013 Caamal, Jacobo 1 2";2
"La Guina 03/11/2013 Caamal, Jacobo 1 3";3
"La Guina 03/11/2013 Caamal, Jacobo 1 4";4
"La Guina 03/11/2013 Encinas, Leopoldo 1 1";5
"La Guina 03/11/2013 Encinas, Leopoldo 1 2";6
"La Guina 03/11/2013 Gonzalez, Marco Antonio 1 1";7
"La Guina 03/11/2013 Gonzalez, Marco Antonio 1 2";8
"La Guina 03/11/2013 Gonzalez, Marco Antonio 1 3";9
"La Guina 03/11/2013 Gonzalez, Marco Antonio 1 4";10
"La Guina 03/11/2013 Medina, Jaime 1 1";11
"La Guina 03/11/2013 Medina, Jaime 1 2";12
"La Guina 03/11/2013 Medina, Jaime 1 3";13
"La Guina 03/11/2013 Medina, Jaime 1 4";14
"La Piramide 03/11/2013 Lopez, Juan Gabriel 1 1";1
"La Piramide 03/11/2013 Lopez, Juan Gabriel 1 2";2
"La Piramide 03/11/2013 Lopez, Juan Gabriel 1 3";3
"La Piramide 03/11/2013 Lopez, Juan Gabriel 1 4";4
"La Piramide 03/11/2013 Torres, Daniel 1 1";5
"La Piramide 03/11/2013 Torres, Daniel 1 2";6
"La Piramide 03/11/2013 Torres, Daniel 1 3";7
"La Piramide 03/11/2013 Torres, Daniel 1 4";8
"La Piramide 03/11/2013 Valdez, Daniel 1 1";9
"La Piramide 03/11/2013 Valdez, Daniel 1 2";10
"La Piramide 03/11/2013 Valdez, Daniel 1 3";11
"La Piramide 03/11/2013 Valdez, Daniel 1 4";12
"Punta Chivato 03/11/2013 Delgado, Samuel 2 1";1
"Punta Chivato 03/11/2013 Delgado, Samuel 2 2";2
"Punta Chivato 03/11/2013 Delgado, Samuel 2 3";3
"Punta Chivato 03/11/2013 Delgado, Samuel 2 4";4
"Punta Chivato 03/11/2013 Jarillo, Miguel 2 1";5
"Punta Chivato 03/11/2013 Jarillo, Miguel 2 2";6
"Punta Chivato 03/11/2013 Jarillo, Miguel 2 3";7
"Punta Chivato 03/11/2013 Jarillo, Miguel 2 4";8
"Punta Chivato 03/11/2013 Suarez, Alvin 1 1";9
"Punta Chivato 03/11/2013 Suarez, Alvin 1 2";10
"Punta Chivato 03/11/2013 Suarez, Alvin 1 3";11
"Punta Chivato 03/11/2013 Suarez, Alvin 1 4";12
"Sitio Nuevo 03/11/2013 Becerra, Ulises 2 1";1
"Sitio Nuevo 03/11/2013 Becerra, Ulises 2 3";2
"Sitio Nuevo 03/11/2013 Becerra, Ulises 2 4";3
"Sitio Nuevo 03/11/2013 Delgado, Samuel 2 1";4
"Sitio Nuevo 03/11/2013 Delgado, Samuel 2 2";5
"Sitio Nuevo 03/11/2013 Encinas, Leopoldo 1 3";6
"Sitio Nuevo 03/11/2013 Encinas, Leopoldo 2 1";7
"Sitio Nuevo 03/11/2013 Encinas, Leopoldo 2 2";8
"Sitio Nuevo 03/11/2013 Encinas, Leopoldo 2 3";9
"Sitio Nuevo 03/11/2013 Encinas, Leopoldo 2 4";10
"Sitio Nuevo 03/11/2013 Lopez, Juan Gabriel 1 1";11
"Sitio Nuevo 03/11/2013 Lopez, Juan Gabriel 1 2";12
"Sitio Nuevo 03/11/2013 Lopez, Juan Gabriel 1 3";13
"Sitio Nuevo 03/11/2013 Lopez, Juan Gabriel 1 4";14
"Sitio Nuevo 03/11/2013 Solano, Rosario 1 3";15
