"ID";"dive";"replicate";"Fecha";"Comunidad";"Sitio";"Latitud";"Longitud";"Habitat";"Zonificacion";"TipoProteccion";"ANP";"BuzoMonitor";"HoraInicial";"HoraFinal";"ProfundidadFinal";"Temperatura";"Visibilidad";"Corriente";"Transecto";"Genero";"Especie";"GeneroEspecie";"Sexo";"ClaseT";"Talla";"Abundancia";"Clase";"FM"
"El Resumidero 02/11/2013 Talamantes, Claudia 1 1";1;1;"02/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Talamantes, Claudia";"11:55:00";"12:30:00";4.6;25;20;"low";NA;"Chromis";"atrilobata";"Chromis atrilobata";NA;NA;10;180;"fish";"mid-water"
"El Resumidero 02/11/2013 Talamantes, Claudia 1 1";1;1;"02/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Talamantes, Claudia";"11:55:00";"12:30:00";4.6;25;20;"low";NA;"Chromis";"atrilobata";"Chromis atrilobata";NA;NA;50;150;"fish";"mid-water"
"El Resumidero 02/11/2013 Talamantes, Claudia 1 1";1;1;"02/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Talamantes, Claudia";"11:55:00";"12:30:00";4.6;25;20;"low";NA;"Cirrhitichthys";"oxycephalus";"Cirrhitichthys oxycephalus";NA;NA;10;1;"fish";"mid-water"
"El Resumidero 02/11/2013 Talamantes, Claudia 1 1";1;1;"02/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Talamantes, Claudia";"11:55:00";"12:30:00";4.6;25;20;"low";NA;"Cirrhitichthys";"oxycephalus";"Cirrhitichthys oxycephalus";NA;NA;5;1;"fish";"mid-water"
"El Resumidero 02/11/2013 Talamantes, Claudia 1 4";1;4;"02/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Talamantes, Claudia";"11:55:00";"12:30:00";7.1;25;20;"low";NA;"Holacanthus";"passer";"Holacanthus passer";NA;NA;20;1;"fish";"mid-water"
"El Resumidero 02/11/2013 Talamantes, Claudia 1 4";1;4;"02/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Talamantes, Claudia";"11:55:00";"12:30:00";7.1;25;20;"low";NA;"Chromis";"atrilobata";"Chromis atrilobata";NA;NA;10;250;"fish";"mid-water"
"El Resumidero 02/11/2013 Talamantes, Claudia 1 4";1;4;"02/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Talamantes, Claudia";"11:55:00";"12:30:00";7.1;25;20;"low";NA;"Thalassoma";"lucasanum";"Thalassoma lucasanum";NA;NA;10;60;"fish";"mid-water"
"El Resumidero 02/11/2013 Talamantes, Claudia 1 5";1;5;"02/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Talamantes, Claudia";"11:55:00";"12:30:00";4.5;25;20;"low";NA;"Holacanthus";"passer";"Holacanthus passer";NA;NA;20;2;"fish";"mid-water"
"El Resumidero 02/11/2013 Talamantes, Claudia 1 5";1;5;"02/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Talamantes, Claudia";"11:55:00";"12:30:00";4.5;25;20;"low";NA;"Bodianus";"diplotaenia";"Bodianus diplotaenia";NA;NA;5;21;"fish";"mid-water"
"El Resumidero 02/11/2013 Talamantes, Claudia 1 5";1;5;"02/11/2013";NA;"El Resumidero";NA;NA;NA;NA;NA;NA;"Talamantes, Claudia";"11:55:00";"12:30:00";4.5;25;20;"low";NA;"Chromis";"atrilobata";"Chromis atrilobata";NA;NA;10;90;"fish";"mid-water"
